id,year,month,day,hr,min,sec,Lat,Lon,depth,Mw,time_date
243,2016,10,26,20,6,36,42.9233,13.1072,9.7,3.14,26/10/2016 20:06
244,2016,10,26,20,11,0,42.9807,13.1107,9.7,3.03,26/10/2016 20:11
245,2016,10,26,20,12,41,43.0172,13.123,8.4,3.3,26/10/2016 20:12
246,2016,10,26,20,25,53,42.9913,13.1365,9.6,3.23,26/10/2016 20:25
247,2016,10,26,20,38,7,43.0142,13.0653,10.2,3,26/10/2016 20:38
248,2016,10,26,20,41,24,42.8733,13.1527,7.8,3.13,26/10/2016 20:41
249,2016,10,26,20,42,21,43.0082,13.1125,8.7,3.13,26/10/2016 20:42
250,2016,10,26,21,0,46,42.9227,13.1147,9,3.12,26/10/2016 21:00
251,2016,10,26,21,24,51,42.8673,13.0783,9,3.73,26/10/2016 21:24
252,2016,10,26,21,42,1,42.8612,13.1283,9.5,4.63,26/10/2016 21:42
253,2016,10,26,21,45,45,42.8478,13.1537,8.7,3.01,26/10/2016 21:45
254,2016,10,26,21,52,52,42.861,13.2088,8.6,3.33,26/10/2016 21:52
255,2016,10,26,22,11,27,42.9342,13.1573,7.5,3.24,26/10/2016 22:11
256,2016,10,26,23,52,30,42.8412,13.174,7.8,3.46,26/10/2016 23:52
257,2016,10,27,0,13,19,42.8368,13.172,6.4,3.11,27/10/2016 00:13
258,2016,10,27,0,21,29,42.9918,13.118,8.5,3.46,27/10/2016 00:21
259,2016,10,27,0,58,31,43.0002,13.1058,9.2,3.35,27/10/2016 00:58
260,2016,10,27,0,59,34,42.892,13.0588,10,3.13,27/10/2016 00:59
261,2016,10,27,1,13,39,43.0083,13.1077,9.9,3.13,27/10/2016 01:13
262,2016,10,27,1,37,5,42.842,13.1648,8.3,3.48,27/10/2016 01:37
263,2016,10,27,2,44,45,42.9083,13.049,10.7,3.58,27/10/2016 02:44
264,2016,10,27,3,12,40,42.9992,13.1467,9.9,3.08,27/10/2016 03:12
265,2016,10,27,3,19,27,42.8442,13.1503,9,4.05,27/10/2016 03:19
266,2016,10,27,3,50,24,42.9862,13.1268,8.9,4.37,27/10/2016 03:50
267,2016,10,27,4,27,18,42.9317,13.0473,9.7,3.24,27/10/2016 04:27
268,2016,10,27,5,5,28,42.8873,13.05,10.8,3.36,27/10/2016 05:05
269,2016,10,27,5,40,37,43.0267,13.1372,9.7,3.09,27/10/2016 05:40
270,2016,10,27,5,48,10,43.0108,13.118,9.7,3.15,27/10/2016 05:48
271,2016,10,27,6,34,15,43.0302,13.1252,8.7,3,27/10/2016 06:34
272,2016,10,27,7,12,7,42.8663,13.1338,8.4,3.36,27/10/2016 07:12
273,2016,10,27,7,50,29,42.8268,13.1343,9.1,3.55,27/10/2016 07:50
274,2016,10,27,8,21,45,42.8733,13.0998,9.3,4.39,27/10/2016 08:21
275,2016,10,27,8,24,8,42.8975,13.1833,8.9,3.09,27/10/2016 08:24
276,2016,10,27,8,38,37,42.9635,13.1483,9,3.3,27/10/2016 08:38
277,2016,10,27,8,45,12,42.9992,13.1182,9.7,3.29,27/10/2016 08:45
278,2016,10,27,10,10,25,42.8787,13.0618,10.8,3.01,27/10/2016 10:10
279,2016,10,27,10,10,49,42.9972,13.1297,9,3.16,27/10/2016 10:10
